,number_of_likes,caption
97,12,How we are paying for our meal tonight! Perks of grandparents in real estate! #gifts
98,28,Brb just buying cupcakes from an ATM with @elishakelch
99,26,Bearing the freezing cold temperature to support some of our students! Go Guyer!
100,17,Made it into the dome!! #passion2013
101,22,Kinda weird sitting behind the camera filming this guy! Love him and his heart for the gospel and students! So blessed to serve under this man in ministry.
102,27,So who thought this was cool?! @elishaminter made this so props to her!! :)
103,63,We had to stop and take a Royal Gorge hike!
104,52,Greatest youth staff on the planet!!!! Love this team and the heart each of them have for student ministry! Last night was amazing with 20+ new students and the launch of our new #imagenight this team was on point!! Love you guys!!
105,20,#Throwbackthursday with @lizbaird this summer. #lakedays
106,5,"Mom, Dad and I! #TBT #throwbackthursday"
107,20,Bahahahaha 😂 #throwbackthursday #tbt @clay_golden @brandonsaiz @nappie15 @nannyivester1
108,73,This little boy came to work with dada today! Took his nap in the prayer room and only threw up once during staff meeting (reason for the big t-shirt) lol love this little guy so much! #judahbeaukelch #churchbabies
109,14,World Trade Center and Twin Tower memorial site. Bottom right is one of the new towers almost finished being built!
110,23,Thanks Johnny Manziel! #2days #becomingthekelchs
111,16,So excited to finally get to read this thanks to my grandparents! #Jesusis
112,36,Happy Fourth of July! 🇺🇸
113,90,So thankful for all these beautiful friends helping me out with today and being a part of this special moment for Elisha and I :)
114,47,Loving camp this week!!
115,52,Future brother & Sister in laws 😏 #graysonlewiskelch #lennonmae @kaitlinjdavis @jarronpaul @elishakelch
116,32,I have been crazy blessed to have had the opportunity to play with so many incredible musicians in my time leading worship at FBCC and most of them have been students. I have never been more proud of a group of students leading worship than this morning. Such a smooth Sunday morning that was filled with nothing but seeing much be made of the name of Jesus. Love you all who helped out this morning and I'm already looking forward to next Wednesday!
117,56,This little kid has been all smiles lately :)
118,23,Amen
119,25,Guys what's going on..? @jessechaney
120,58,What an incredible night back with @christianlifeaustinya If you live in ATX come out and join us on June 23rd for our next gathering!
121,14,Clay Golden 😍 #mcm #mancrushmonday @clay_golden
122,83,"4 YEARS!!!! This girl is my everything! Always putting up with my stupid self, being the best mom on the planet, constantly encouraging, loving, and pushing me forward. Your laughter brings me joy and your compassion can calm storms in my life! Here’s to 4 more! Love you beautiful!:)"
123,25,Golfin with these doods! @garmet @elja19
124,28,I caught a fish catching a fish!!
125,24,Oh just another one of @jessechaney doodles he leaves me on my Mac.. Love and appreciate this brother soooo much
126,24,Lorenzo!! New Orleans mission week #throwbackthursday #tbt
127,47,Happy Post Halloween from Rapunzel and Flynn Rider!
128,55,Merry Christmas from the Kelchs :) it's been a great day spending time with Elisha's family and Bubba and Sissie surprising us here at the apartment!
129,50,John Mayer!
130,39,Who liked the new stage design?? Give us your thoughts!
131,30,So awesome having @reidwjohnson and @jacidj lead us in an awesome word about relationships and more! So special having such a wonderful couple lead us to the throne tonight. @continuumministries
132,21,@jessechaney always in the way...
133,26,"Happy Father's Day dad! Thanks for being the coolest dad ever and really showing me a perfect example of humility and servanthood through the way you live your life and serve others so freely! I'm getting married and starting a new stage of life that will eventually involve having my own children and I hope I am as goofy, loving, caring and creative to them as you are to us! Love you! @jasonkelch"
134,13,@jennyandtyler at the door! Sooo good!
135,49,"Today is my beautiful brides birthday:) she turns twenty one today and let me tell you I couldn't be more proud of anybody in the entire world! She has survived a crazy last year of being my girlfriend, finance, and wife and that alone is enough to drive somebody crazy! She planned a beautiful wedding for 5 months of her twentieth year and all along still loved and served me way more than I deserved! Here's to another year of life full of blessings :) I love you forever more than always Elisha :)"
136,128,You think you could never love another quite like the first. Until you meet for the first time and that feeling is just the same. Grayson Lewis you are perfect in every way. Thank you Jesus!
137,68,Honey I shrunk the kids.. @elishakelch
138,43,Cutest little first time guest greeter 😂
139,24,Yassssssss best birthday present everrrrrr!!! Best wife award goes to @elishakelch :) see you tonight @johnnyswim
140,81,Evening walks are becoming more and more fun every time. Love these two goofballs with all I have in me. #stopgrowingup
141,28,"Had a blast last night spending time with family and friends celebrating little Noah's birthday. Got to throw the softball around, eat some burgers, play some guitar and enjoy good people! Thanks @davidbaysinger @rachel_baysinger for having us out!"
142,20,How we knucks over text. Nausea it! @davidbaysinger
143,15,Practice time!! Good to be back!
144,19,Lunch with this goober. @alexx_holcombb
145,6,Single shots @lightofloveband
146,49,"Happy Birthday to one of my best friends and the best man in my wedding @jessechaney he turned 23 today! I feel like you just walked through my front door yesterday and ""22"" by T swift was blaring in my living room. Or the many times/countries we've shared a hotel room bed or air mattress on a mission trip. Thank you for doing nothing but pour into my heart and help raise me in my walk with Christ. Love you brother! Hope today is awesome!"
147,26,Thankful for my brothers and mom helping me out in the heat of the day to put in a flower bed at our new house! Lots of dirt mulch and rock had to be moved and they didn't complain at all!
148,33,Finally got to stop in at @westoakcoffee on the square. Chocolate milk on tap with my beautiful wife :)
149,20,Lol #122112
150,8,Updating my Tc electronic pedals..
151,26,Gorgeous girlfriend great ice-cream!
152,25,@garmet stop munchin on those Cheetos so loud!! Trying to pay attention down here..
153,30,Hey thanks @kyleholmanofficial for the new shades!! #polarized
154,13,Breakaway with friends!! @schylerlsestak @elishaminter @kristenyeokum @lizbaird @kishlarson14
155,29,FBCC Student Ministry Christmas Party!! Lots of fun!:)
156,31,My beautiful girlfriend :) dinner date at Cotton Patch!:)
157,7,@elishaminter reminded me a lot of @aaronrgillespie when I saw that picture.. Sorry Elisha that you reminded me of a dude... And sorry Aaron that a girl reminded me of you! Love you both 😁
158,56,Rocking the combover since forever.. #tbt
159,70,My girl rocking that red velvet on a rainy Monday morning ;) how did I get so lucky! ❤️🔥😎
160,28,We r so cool. Love this sweet girl 😘
161,85,These two had a blast at the OU vs Texas baseball game. Just a little best friend rivalry!
162,18,Dinner night pic! Fun times with @elishaminter @lizbaird @bmatimba
163,39,Got to play some tennis with my beautiful tennis babe tonight! Super proud of her for sticking it out through the rain and still making the best of it!:) @elishakelch
164,23,Renaissance Music.. Show choir #throwbackthursday with my twin @schylerlsestak miss you man!
165,9,Love and miss you meme!
166,22,Had a great time leading with @nappie15 tonight. loved his sick setup also. Sounded so good.
167,108,Welcome to the world Judah Beau! You put up one heck of a 31 hour fight but your momma is a fighter! 8lbs 2oz and 21in and boy do you look like yo momma! You've rocked our world already little man and we can't wait to see you grow up loving Jesus and loving people! You are loved sweet boy! -dad #judahbeaukelch
168,18,Praying for our preteens as they leave for camp this week!! Can't wait to have the 6th graders promote up this August! @ksummarsell
169,56,Start em young ;)
170,16,Back when Kyle had blonde hair.. @kyle_holman1 #tbt #throwbackthursday #hot
171,21,Happy Birthday Donald! @donaldcadenheadlll
172,14,What up Dallas!!
173,12,Alright that's it! I'm finished with it!! For now... Ha
174,42,I've never seen @duckdynastyae @bosshogswife so high definition.. #ACMawards50
175,73,Super Sunday was a success with this super babe!! #bakerbakertouchdownmaker
176,13,Texas motor speedway Christmas lights!!
177,28,I've got the shop updated with the most current items I've made! I'll be adding more items later this week so go check it out for me! Link is in my bio
178,31,"Everyday I learn something new about her, she loves me despite how goofy and ignorant I am. She does nothing but represent the love Christ has for us through how she loves me. And to top it off she is the most beautiful girl on the planet! #wcw"
179,64,Most beautiful beach in America I don’t care what you say.. wedding day begins now!! #siempresuarez
180,13,Celebrating with Kayla!! @kaylamarie0902
181,35,It's been a good day lol #falling
182,18,Got the pleasure of enjoying a nice bowl of popcorn with this little guy Saturday night. @davidbaysinger @baysingerfamily
183,40,#mancrushmonday #mcm @brandonsaiz
184,17,Thanks Troy. #8days #becomingthekelchs
185,9,Bubba and Sissie lol
186,30,My woman crush Wednesday :) thank you for being such a blessing in my life in so many ways! You're incredible!!
187,53,It's been a hard week but little Judah has been keeping a smile on all of our faces!:) #judahbeaukelch
188,56,I can't explain to you what a blessing it was to get out of Denton County with this babe and head south! Tropical storm Bill through a kink in our plans but we still got lots of rest and relaxation. Which we both needed (especially her..) she is making our baby and all :) kinda tiring..
189,12,🇺🇸
190,16,@nappie15 and @donaldcadenheadlll dancing to a thousand years part 2 in the studio..
191,13,The Big Piano at FAO Schwartz
192,29,Dallas Stars game last night with my beautiful girlfriend :) also standing out taking a selfie with Gloria from WFAA!
193,31,This is what you a missing! Be sure an come out and join us tomorrow and Wednesday for #SYATP #IFTHEN
194,15,My new background is too legit..
195,51,"Today it's September 4th, 2015. Which means one thing, God is so good. Today marks one year being married to my best friend! This past year has been the best year of our lives no doubt. Many said ""beware! The first year is always the hardest!"" And I just wanna say.. You were wrong! We are a team and a dang good one at that. We've got each other's backs and nothing can change that. And only by the grace of God have we made it a whole year without arguing or raising our voices at each other. ""Oh don't worry you will!"" We'll see is all I have to say to that.. Thanks for being the most incredible wife and always loving me more than yourself. Judah and I are going to fight over who gets time with you more ;) Happy anniversary and I love you forever more than always!"
196,22,@elishaminter and I had a blast hanging out with our 5th and 6th graders last night at camp copass! Looking forward to another awesome night with them tonight as well!
197,10,Peach drop!! #newyears2013 #passion2012
198,66,He’s mostly sweet 😎😍#judahbeaukelch
199,87,"""Dude! I'm going home!"" -Judah #judahbeaukelch"
200,41,"Today is August 1st, which means in thirty three days I'll be taking by far the biggest step I've ever taken in my entire life. By the grace of God I get to take Elisha's hand in marriage. He has blessed Elisha and I so much throughout this year we are able to take this wonderful step. In January both of us got hired to work at separate banks, by then I already knew I was going to marry Elisha. In the middle of March I asked for her parents blessing. March 30 was the big proposal day you've all seen here! Since then things have been the most organized train wreck of preparing for a wedding. I think that's every wedding though.. We signed the lease on our house Tuesday and I move in this coming Monday! We are beyond ecstatic and so thankful God has been in the center of it all. Thank you all for your prayers and support! If you read this you are crazy for listening to my blabbel.. But I appareciate it :)"
201,19,Mmmmm :) #lancer
202,12,@elja19 Nervous before he goes on stage.. Can you tell? lol
203,20,Thanks David Murphy! #7days #becomingthekelchs
204,32,Taco Tuesday with my hot date! Oh wait...
205,31,Got to play some top golf with @elja19 this afternoon! So what do we do.. Of course play with some slo mo.
206,8,Sweet thanks @kyle_holman1
207,69,This little boy had to pick a flower for mommy! That’s my boy 😘
208,8,10oz of lobster caviar...$1000 by far the most expensive thing I've ever seen on a menu!
209,44,May or may not have gone to the lake and enjoyed some nice hammocks with my beautiful fiancé and friends yesterday :)
210,14,Tom is my right hand man on Sunday mornings. Love this man!
211,21,He knows how to roll...
212,38,Nobody knew this.. But all of us guys stayed with the nautical theme of the wedding and wore anchor socks. Woah.. Also thanks to @bmatimba for actually taking a picture of this because @kyle_holman1 and I spent way to long setting this up to look cool for a nice photo!
213,18,Hey come hang out :) it's gonna be an awesome night!
214,17,"Got to hangout with @lizbaird today at the state fair. Play the acronym game, eat some delicious fried foods, watch a killer parade, and enjoy some chicken chicken at canes."
215,76,"Happy Mother’s Day to you beautiful! Today we celebrate you! Thank you for being the most selfless, strong, hardworking, dedicated, loving mother. You deserve the best of the best! You constantly pour your heart and soul into our family and it does not go unnoticed. I love you, Judah loves you, and Grayson love you the most (😒) Happy Mother’s Day @elishakelch ❤️💐"
216,28,#getjesseonthetonightshow @jimmyfallon
217,22,This happened tonight..
218,16,Celebrating with Kayla!! Pt 2. @kaylamarie0902
219,19,First time at All About Mac!! Mmmmm
220,15,It's beginning to look a lot like Christmas.. #tree #santa #grandkids #picstitch
221,48,Yeah the cute pictures are perfect but I must say that this captures us pretty well :) love all these people and the friendships @elishakelch and I have with each of them! Thank yall for being so awesome!
222,35,Ranger game with these chumps!
223,47,"I had by far the best birthday I've ever had! Shoutout to my incredible wife for planning such a great day, getting me a sweet t-shirt, some cool rootbeers, cream sodas AND getting me a geofilter for my birthday! We had such a great time with good friends and family! Thanks to everyone to came to hangout and celebrate with us!:)"
224,47,Got my little dude his first pair of Nike frees today!
225,31,On our way to #Passion2014 in Houston!
226,31,Ignore me.. But this is Dixie. My mut.
227,26,@jessechaney #mancrushmonday #mcm
228,57,Happy Father’s Day to the hardest working man I know! This year has been one of the best years of my life having you work here at the church. You’ve taught me so many valuable lessons and skills I will use for the rest of my life. Thanks for being the best dad on the planet!
229,19,Bus ride..
230,12,Love these guys
231,19,Got this little dime on the bottom left for only $50 yesterday.. What a steal! #line6DL-4
232,27,Oh it's s'cute @tcelectronic holding it down on my bass setup this morning. #tcelectronic #halloffame #tone #bass #TunedToTC
233,13,-______- @jessechaney
234,51,"WHAT. A. WEEKEND.
@christianlifestudents You came expectant for God to do the miraculous and He absolutely did! I serve on the greatest team on the planet and could not be more proud of everyone who serves on the Christian Life Students Staff. It is an honor to work alongside each of you. Also shoutout to my amazingly talented wife @elishakelchphoto who takes incredible photos and makes us look really cool 😎"
235,10,How @brandonsaiz and I feel like at Christmas band rehearsals #brainfried #cantthink #whoami
236,30,Winning while twinning. #bucee's @lizbaird
237,73,2017 was one of the greatest years of our lives and we can’t wait for what 2018 has in store! #2017bestnine
238,13,Hey guys! Notice the change in our Christmas party! Come ready to hangout and celebrate the birth of our savior Jesus!!
239,45,This big boy was having too much fun yesterday on the couch :)
240,38,My bestfriend Brandon! @brandonsaiz lol
241,16,@nannyivester1 and I fishing for our bait earlier today! #goprohero3
242,26,Best friend and baskin Robbins
243,9,Worlds largest post office in NYC
244,25,Dash cam! My bros! @_colekelch #goprohero3
245,18,"I'm very excited to be co-leading in this incredible conference alongside some of the best leaders on the planet. If you are 18-25 and live in the Austin area or wanna make the drive to Austin come hang out with us! You can get your ticket at continuumministries.com they are only $29! If you use the promo code ""BLAKE"" at checkout nothing happens and your ticket will still be $29!! ;)"
246,85,Today I asked my best friend to spend the rest of my life with me:) she said yes! So excited about what The Lord has in store for us in this season of engagement :)
247,16,black and white is always right. @lizbaird @donaldcadenheadlll
248,17,Oh this isn't real right now... So good @aaronrgillespie
249,47,Had the pleasure of sitting behind this beautiful couple in church today :) missed this view! @chrisratley @mamarat
250,23,Today >>
251,28,Our valentines afternoon :)
252,5,Upwards ceremony from tonight! Soo much fun!
253,30,Gumbys is always a great idea beforehand.. But post game is always a beating😖
254,21,Valentines dinner with my hot girlfriend at Passion 2014!!! :) @elishaminter
255,14,Caught @jessechaney taking a selfie!!
256,15,Golfin the ball around with @daviddbaysinger earlier today!!
257,58,We coolin😎
258,25,Played some disk golf the other day for the first time with this guy! Love him and his heart for The Lord. Despite his goofy side he really is a great friend. @elja19
259,36,Honestly I'm more excited than they are.. ;)
260,22,Just a little dusting here at the Baysingers before bedtime! #startemyoung
261,11,Phil Wickham tonight.. Man what an inspiration!
262,8,Writing
263,26,Had a great night tonight leading you guys tonight! I love all of you and thank you for worshiping with us! Oh and thanks @davidbaysinger for the picture ;)
264,30,Happy birthday Liz!! You are a great friend and I'm blessed by your encouragement toward myself and @elishaminter! You're awesome!!
265,25,Just a little water color painting I painted today while crafting with @elishaminter and @Liz baird
266,80,I can’t handle this kid in a polo.. probably the cutest thing I’ve ever seen. Also makes me want to go take this kid out on the golf course soon.. 🤔 #judahbeaukelch
267,44,So awesome celebrating baptisms in the parking lot after an awesome weekend at summer blast with the CLC Kids!!
268,17,Byron day with this playa. @jessechaney
269,9,College & Career planning! Woot! #excited
270,23,Killing @jessechaney in putt putt
271,79,We went to a baby shower yesterday.. So we had to dress for the occasion 😎
272,21,Studio renovation.
273,72,Lil bill coming your way
274,60,What an incredible week at @growleader so grateful that this pretty lady was able to join us! I've never been more proud of you beautiful! You dove right in and took more notes than I ever could! Thank you for being such a great leader at @clcaustin We cant wait to put what we've learned into practice and pray God moves in a mighty way!
275,26,Guys.. Look at us! @garmet @_vinchenzo_ @joey_depiazza and Heather
276,50,Gummies & a bunny. What else does a kid need??
277,5,Got the Overdrive tonight! Slowly but surely getting there..
278,15,Last day with these wheels and tires! It's been fun
279,99,Happy Mother’s Day to the strongest woman I know! I’ve never been more proud of my wife than I have this past week. She’s killing it as a mother of two and everyday she blows me away with how calm and collected she has been. Handling every situation with genuine care and gentleness making sure to show both boys the same about of love. Thank you for taking care of us boys and always being so selfless! We love you more than you will ever know! Happy Mother’s Day @elishakelch
280,7,Bubba hangs >>>
281,12,@powellj being an artist
282,41,Boo!
283,16,Look who we stumbled upon.. @garmet
284,31,Late night project I just finished.. New signs for the studio/apt!
285,25,Elisha and my apple ciders made by one of my bestest friends jesse ;)
286,80,Last night was an amazing night @christianlifestudents y’all showed up and went all in!! Let’s do it again next week ;) 📷: @elishakelch @cmsuarezv
287,11,Welp my DNOW group with @brashbear Nick twearking and Jeremy and @brady1522 cuddling
288,45,Totally nailed it. Well done guys and happy birthday @caseybarnold
289,7,Hitting golfballs in the backyard kinda afternoon...
290,23,"So thankful for this girl and her sweetheart, tenderness and heart to serve! He is such an encouragement to me and I am so undeserving of her.. #wcw"
291,72,We may or may not have taken like a 4 hour nap yesterday.. And you know we are gonna do it again today #Itwaslikeanhour #feltlike7though #judahbeaukelch
292,44,"It was such a bittersweet moment walking in through the doors to this room today. Turning the lights on, sound system on, getting all the little details ready just one last time. For those of you that don't know, tonight is mine and Elisha's last night here serving on staff. We will be moving to ATX to start leading at @continuumministries for college & young adults in the Austin area. We are very sad and also very excited to start this new adventure as a family. So please, come worship with us tonight! We would love to see some old faces one last time! 6:30pm. See you there!"
293,67,Celebrating the empty grave today! He is risen! Love my family and can't handle how beautiful my wife and baby boy look today :) #resurrectionday #judahbeaukelch #easter
294,19,Hey go buy my good friends band @storylinestx new EP that just released! Iz gud
295,32,Don't miss out on night two of #SYATP #IFTHEN
296,79,"Happy Valentines Day to my beautiful bride! Hands down the best wife ever and best mama to our little boy! You care for us daily, you run a business that is growing like crazy and I’ve never been more proud of you than I am today! Keep being you because that’s the best you. Love you beautiful :)"
297,35,Happy birthday this beautiful young woman :) she turned 20 today and I can't wait to spend many more with her!!
298,26,That face! Hahaha
299,7,Guess who?!?!
300,32,Fun filled Friday night with some good friends and family!:) @elishakelch @baysingerfamily @davidbaysinger
301,38,@kaylamarie0902 Is awesome.. She set up and made our merch table look sooo good.
302,14,"Got rid of my MXR OD, Phaser, and Nova Delay for a Flashback x4 delay, and an OCD overdrive. Really satisfied. Merry Christmas to Blake"
303,26,@lizbaird was super thirsty tonight..
304,50,Bluebonnet baby :) #judahbeaukelch
305,75,"Happy Mother's Day to the best mama in the world! :) you are a warrior that literally goes to battle everyday taking care of our little man! You not only do that but you also manage to take care of my sorry self, manage a photography business that is nearly full-time now, and still you somehow keep your sanity and love us far too well. Keep being your beautiful self and always remember.. you wouldn't be a mom if it weren't for me ;)"
306,21,Don't mess with us 👊 #tagteam
307,21,Nanny got me my own rock band for Christmas! Lol
308,49,I must say I love doing life with this little lady right here :) also this is what happens when she tells me to take a picture with her.. @elishakelch
309,20,THE Jamie Napier. Man myth legend. @nappie15
310,17,Sanchez your a dog.. This is the human table..
311,59,"God has just been too awesome to us during this pre marital season @elishaminter and I are enjoying together! Amazing families just wanting to pour Godly wisdom and encouragement into our lives, give us advice and tell us goofy stories of there marriage experiences. Share sad moments together and be there to help talk through the really hard stuff nobody else will. A big thanks to the Baysingers, Greens, and the Maseys for being so incredibly awesome to us!! We've still got a lot of planning to do for the wedding but we've got the huge stuff out of the way finally :) Date, venue, dress, honeymoon, and a house to live in! We have been beyond blessed and I just wanted to share it with you guys!"
312,21,Sanchez is dead..
313,61,"Don't worry we're right here ;) we had a blast having a bunch of married couples come find us during the married life ""where's Waldo"" scavenger hunt!"
314,93,Sightseeing with this beautiful girl 😎
315,39,Got to take this beautiful little lady to six flags yesterday :)
316,30,So awesome getting to hear from our Dominican Republic mission team share the many stories from their trip. God is good.
317,29,Hey thanks Northstar! ;)
318,55,@kyle_holman1 and I match.. Besties for lyfe lol
319,63,If you need your carpets cleaned you know who to call! #jkdontcallus #judahbeaukelch
320,31,"""DONALD TAKE A PICTURE WITH ME!!"" @donaldcadenheadlll"
321,47,Well Elisha and I already knew we are apart of the greatest group of students on the face of the planet at FBCC but this just was a sweet little reminder of how awesome y'all really are! Hidden amongst all of those balloons wasn't a gift card but it was a nice little note that began a little scavenger hunt within our home of marriage advice from some of our high school students. We love you guys and y'all almost had us in tears! We are beyond blessed to be apart of y'all's lives and getting to watch each of you grow in Christ. Thanks for the awesome welcome home!:)
322,36,Our view from our cabin! With @lightofloveband
323,41,Bout to put Bahamas Bucks outta business!
324,41,Newest edition to the family:)
325,27,Well here we are waiting in line for @philwickham #singalong3 totally worth it :)
326,19,😳 @brandonsaiz
327,13,#throwbackthursday with @dustintarwater and Emma.. Lol
