,number_of_likes,caption
39,5,Best brothers there are! #blessed
40,37,Who said adults couldn't ride go carts?! #STOP #clckids #nowkidscamp #victorycamp #instagramlessspencer
41,21,Love this boy.
42,5,#Passion2014
43,34,"NIGHT OF WORSHIP // TONIGHT // 7:30
+
Who are you bringing?? Free snowcones after service!
+
•There will be no childcare for 1st-5th graders•"
44,5,Today is the day @jarnold914 says I do! It's also the day we finally gain a sister @courtneycol323! #arnoldpartyoftwo #excited
45,33,There is always the expectation for God to show up the last night of camp and what a move of God we had tonight. Wow. An incredible word from @mikey_faulkner on the Holy Spirit. Now Kids Camp has been incredible. Kids lives have been changed! #nowkidscamp
46,5,Headed home! #arnoldpartyoftwo #weddingweekend #itshere @jarnold914 @courtneycol323
47,12,Always cool to see your name come up on the screen. #piano #gift #passion @j_holt16
48,16,"Join us tonight for a night of worship, prayer and planning for @continuumministries."
49,5,I love facetiming with @rba2014 and taking screenshots when he has no clue! #littlebro #lovehim
50,5,Good bye West Texas! See ya next time. #home #family
51,85,Quick get away trip to refresh before things get crazy! First time in Vegas and have thoroughly enjoyed spending it with some of the best people I get to do life with on a daily basis! @blake_kelch @elishakelch @jacidj @reidwjohnson
52,5,I get to my apartment and was greeted by this! #batman #xach #loveit #birthday @jacidj
53,5,Being home and seeing your families last 3 years of Christmas cards up on the board. #home #nixsauto #smalltown #oilchange
54,5,@jarnold914 is a married man!!! #arnoldpartyoftwo
55,92,Still blown away by all that God did this weekend at @christianlifestudents youth retreat. This team absolutely killed it and I can’t believe that I get to be a part of it. Chains were broken and relationships were strengthened. God showed up in such a mighty way! #clsretreat19
56,5,Saturday. CHBC Youth. 4:30. Be there. #chbcyouthreunion #60thanniversary
57,5,Yum chocolate! @mebaner @bmebane
58,5,Best boneless chicken wings ever! Pluckers in Austin you can bet I'll be back! #greatweekendwiththejohnsons
59,13,Back seat buddy. He is out of it!
60,5,My partner for the next 6 days!
61,34,"#Repost @clcaustin with @get_repost
・・・
LifeGroup sign-ups start TODAY! Join us in the gym after all 3 services to browse all the different groups offered, sign-up + get some yummy DONUTS! Don't do life alone!"
62,5,What a great morning at The Grove!
63,17,Join us this Saturday from 10AM to Noon! Fun for the whole family! @clcaustin
64,5,Hanging with Delaney! #dogsitting #meetsmeatthedoorwithhertailwagging
65,5,Ready to see this guy in a week! @rba2014 #districtoneact
66,37,Sweet Harlow I can't wait to see you. #unclestatus #2weeks #andseeyourparents
67,29,Made from scratch is the only way to go! #grilledchicken #mashedpotatoes #macandcheese #salad #onedayillhavealuckywife
68,21,Plans this weekend?! Come see our kids Christmas musical! 4700 Westgate Blvd. #clckids #clcaustin
69,17,What a great night at @continuumministries! A great reminder to GO and make disciples. Excited for this semester and to see what God is going to do. #continuum #clcaustin
70,52,Incredible day for #serveday18. @clcaustin you amaze me. Your willingness to love our city blows me away!
71,9,"Tomorrow is the last day to sign up for LifeGroups @clcaustin! Sign up at the information desk, through the clcaustin mobile app or online at clcaustin.com/lifegroups. LifeGroups begin the week of January 29th and run through the week of February 19th! #lifegroups #clcaustin"
72,5,I need to go meet the neighbors that just got a Steinway! #illbeyourbestfriend #pianoheaven #amazingtouch
73,29,Can't wait to celebrate moms tomorrow!! You don't want to miss it! 9AM | 10:30AM | 12PM @clcaustin #mothersday
74,5,Baking always fixes frustrations! #oreodelight #oreos #creamcheese #coolwhip #chocolatepudding #poweredsugar #delicious
75,5,Jack Jack.
76,5,Keeping Hulk and Raider Red tonight!
77,12,"What a fun time!!
#Repost @mrsericagreen with @repostapp.
・・・
Such a fun evening with the @clcimage staff at the @austinpanicroom! We solved the puzzles and diffused the bomb! #weescaped #onlya36%successrate #3:56left"
78,5,Favorite hymn!
79,5,"Hung, focused, and gelled lights today for West Side Story. I'm just gonna say the actors are going to be looking pretty good! #somanylights"
80,5,Great day today feeding the employees at the prison and sharing the love of Jesus with them!
81,43,Fall LifeGroup sign ups start TOMORROW! Head to the chapel tomorrow after any of our 3 services to browse our groups and find the perfect fit for you! We heard there will be homemade pies 🙌🏻🥧 #clcaustinlifegroups
82,11,When all you want is a treat. #Delaney #thiswentonfor90seconds #latergram
83,5,24 Day Challenge with Advocare! Before and after shots. This is just the beginning! Reid lost 27 pounds and 22 inches. Casey lost 20.8 pounds and 12 inches. #itworks #ibelieve
84,5,Xach wanted to get under the blanket with his flash lights!
85,5,You alone can satisfy. #waitinghereforyou #advent
86,5,Not the best way to start off a work day. #systemrepair #technology #gottaloveit
87,28,Incredible start to Now Camp! Looking forward to all that God is going to do this week. #nowcamp2016 #nowcampxx
88,5,Winter BBQ baked chicken. #24daychallenge #bestmealyet
89,16,You don’t want to miss it! Tonight!!! @clcaustin
90,5,Love this girl! @recoveringingod #c40
91,25,It’s going to be a great Christmas Eve @clcaustin! #christmasatchristianlife
92,5,Can your dog do this?! #dogsitting
93,5,One spoiled dog.
94,10,Never let someone that doesn't love you define you. #worshipwar #jabinchavez #hallelujah #jesus #reveal15
95,5,Wicked!!! #broadwayinaustin #wicked @chickenchick05
96,5,"""I've tasted and seen of the sweetest of loves. Where my heart becomes free and my shame is undone. In Your presence Lord."""
97,5,A care package from the mission friends at church. #howsweet #churchplanting
98,15,Hard to believe this little guy is 5 today. Happy birthday Xach! #littlebuddy @jacidj
99,65,Today is this little turkey's birthday. Wow how one year has flown by. She has the best expressions and an ever changing personality! Harlow Quinn Uncle CC loves you so much! #harlow_quinn
100,5,In it to end it! ❌ #enditmovement #27million
101,12,Hanging out with Jack this morning!
102,5,Keeping Jude and Lilly! Watching and dancing to Yo Gabba Gabba! @ndoland @tonydoland
103,43,"This Freedom Group! Who knew last semester during LifeGroups, this group would truly become family. Loved hanging out with you today! Tomorrow our spring semester of LifeGroups opens up! Registration will take place in the Chapel after each service! Join a LifeGroup this semester. You won’t regret it!!"
104,15,"Want to lead a #clclifegroup but not sure where to start? Swipe left! It couldn't be easier. // The deadline to sign up to lead a LifeGroup is Sunday, September 10th. You can sign up with the link in my bio or at clcaustin.com/leader. Don't miss out!! #clcaustin #clclifegroups"
105,39,Incredible day two of serving the people of the greater Houston area. Today we completely tore the Sheetrock out of a house then headed over to a wearhouse to load and unload supplies. Thank you for all of your donations as they are going out to the people who truly need it. Thank you @gracechurchlive for all of your work in serving your community and for allowing @clcaustin to partner with you. It has truly been a joy. #rescuerecoverrebuild
106,5,#nationalsiblingday #bestbrothersthereare @rba2014 @jarnold914
107,5,Nature trail with the parents! #home #walking #momanddad
108,19,It's beginning to look a lot like Christmas. #loveChristmas #lights #decorations #peace #joy #allaboutJesus #toobadidonthaveayard
109,36,What a wonderful weekend it has been. Enjoyed spending it with Miss Harlow and the whole Arnold clan. #flyingisbetterthandriving #harlow_quinn #backtoatx
110,19,First time to actually play a synth! #intimidating #thecomputerandslidescontrolit #regularpianoismucheasier #behindmountvasquez #vbs #clc #everest
111,5,Caught me teaching with my arms. #paperlesstrainingtheofficemanagers #cbur #skyslope
112,45,Absolutely love doing life with our LifeGroup! #clclifegroups @clcaustin
113,5,The Word of God is so refreshing.
114,5,So glad ray ray came to visit this weekend. #missedthisbud #needstomovetoatx #hisweaknessiswhite
115,26,There aren't many people we would get up at 5:30 for on a Saturday morning for a graduation! Congratulations @mrsjamiearnold! #sister #texastech #drarnold
116,5,Oh snap! Who has an office now?!
117,5,Super excited to spend the rest of the week with these guys! @jarnold914 @courtneycol323 #hurryupwednesdaynight
118,10,May 4th in Austin... Could this be my first 5k?! #lookslikefun
119,49,Happy birthday @rba2014. Loved hanging out with you these past few days.
120,5,Benefits to working in a real estate office. Other companies bring us goodies to business! #sweets #minibundtcakes #nothingbundtcakes
121,12,"What a night tonight was!!! Ready for day 2. #Repost @jarronpaul with @repostapp.
・・・
@continuumministries conference is happening... If you ain't here... Get here..."
122,9,April 2nd. Join me in wearing blue. #ilovesomeonewithautism #autismawareness
123,5,What a way to bring a smile to your face!
124,24,Join us tonight for a Night of Worship with @ricardomusic. 7:30 | 4700 Westgate Blvd. @clcaustin
125,5,Showing the little bro ATX! @rba2014 #pennybackerbridge
126,5,Hello view out my bedroom and living room! #residentofaustintexas #movedin
127,5,What a dork. #littlebrother #snapchat #lovehim #hesinnewyork @rba2014
128,13,@realestatechefatx brought pocket pies to the office today. #delicious #cherry #blueberry #sweetpotatoe #cbu
129,5,Glad we got to hang out tonight. @bradreston @kirstie_d_r is a monster killer. #movetoaustin
130,15,@sydneywrightmusic killing it at #thesaltlickbbq #goodfood #goodcompany #cbu
131,5,What a great birthday! Showed up to the office with decorations all over my desk. Plus a plant from my family. Then was surprised with a home cooked meal for lunch by the agents and a signed card! #blessedtoworkforcoldwellbankerunitedrealtors #24
132,7,"@continuumministries you don't want to miss it! 18-25 year olds! @brittkarolina with @repostapp.
・・・
So excited to talk about life, love, relationships and God! If you're a college student (or anyone 18-25) come to the Continuum College Conference on September 6-7 in Austin, Texas, and hang out with me (and tons o' amazing people!) I'm gonna share my heart & just have real talk!!!! Yay! If you're around the area, obviously I'd love to see you there. Check out continuumministries.com to check it oooout! Love you guys!!! It'll be my first time to Texas too! ️woop ️woop! ❤️❤️❤️ (p.s. Sorry for the least professional video ever 😂)"
133,5,Accounts Payable lady sent this to me at work today to put on my office door. #ithasbeenacrazyday #runningtheofficesolo
134,5,Today is this guys 6th birthday. So hard to believe. Seems like just yesterday I was babysitting you for the first time at 6 weeks old. Happy birthday Xach!
135,11,Not a bad view. #campeagle #eaglerock #missouri #vacation #churchcamp #rest
136,20,No one said you had to be married and have kids to learn about how to be intentional in parenting. Great conference at @clcaustin this weekend with @dougfields. #intentionalparenting #clcaustin
137,26,LifeGroup registration opens tomorrow! The summer LifeGroup semester runs June 3 - July 14 and promises to be a highlight of your Summer! Browse the different groups + sign up to be a part of a LifeGroup TOMORROW after each service in the Chapel (formerly known as the gym). Don’t do life alone! @clcaustin
138,5,Love it! @jake_leatherwood
139,5,Great time tonight celebrating this guy! #arnoldpartyoftwo @jarnold914 #brother #bachelorparty
140,5,So nice getting away from phone service. Great time at the lake!
141,19,Eugene. #memoriesfromthejuniorhighmusical #yesiwasthenerd #greaselive
142,5,Looked over at my tree and was surprised by a new ornament! Thank you so much Xach Johnson! I love it! @jacidj
143,12,It's a potato soup kind of night! #pioneerwomanrecipe #baconcookedonthestove
144,5,It's here! Go download Passion's Let The Future Begin cd right now. #letthefuturebegin #JesusonlyJesus
145,5,And the editing begins. #C40video #latenight
146,5,Passion 2013!
147,21,Due to #hurricanharvey we will only have one service tomorrow morning at 10:30AM at @clcaustin. Please help us spread the word.
148,5,24 Day Challenge with Advocare! Before and after shots. This is just the beginning! Reid lost 27 pounds and 22 inches. Casey lost 20.8 pounds and 12 inches. #itworks #ibelieve
149,71,"Even though 374 miles separates us, there is nothing that melts my heart more then spending time with you and hearing “CC run faster! CC I love you! CC sit by me.” #unclecc #harlow_quinn"
150,75,Adventures with #harlow_quinn.
151,35,Excited for #serveday18! ATX here we come! @clcaustin
152,5,Great are You Lord.
153,5,#passion2014 @rba2014 #hisfirsttime
154,12,Excited for church this morning! #engage #groveatx #zilkerelementary
155,5,"Our office participated tonight in the Relay for Life in Westlake. Being able to partake in the Luminary ceremony will forever be a memory. Walking around the track in silence while Amazing Grace was played on a bagpipe brought tears to my eyes as I looked at each luminary and saw the loved ones that had either lost their battle, are currently fighting or are a survivor. I love and miss you Gramps and Uncle Gene."
156,11,Morton Indians Friday Night Lights #coacharnold #goindians
157,36,There is a new lady in my life. After knowing her for only 4 days she has already stolen my heart. Harlow Quinn Arnold you are such a precious baby girl. I am so in love and amazed at the beauty that God has crafted together. #unclestatus #harlow_quinn #wrappedaroundherfinger #whydoestexashavetobesobig
158,5,Came home to this today! I love my neighbors upstairs. #iwaswantingawreathonmydoor
159,70,Wow. Freedom Conference is hands down the best conference I have ever been a part of in my life. What a joy and honor it has been to be with this group of people. I cannot wait to see the future of freedom groups at @clcaustin. Thank you @lifechurchhtx for allowing us to come and participate. You were incredible host! #freedomgroup
160,5,Sound and words today at church? I got this!!!
161,5,Complete with Banjo!
162,5,Blessed to get encouraging prayer text messages for a job interview! @sarahdanae83 @barbaraleatherwood
163,5,Trail of lights with the boys. @chickenchick05 @stephaniefaye2
164,5,Oh snap. My own stamp at work! I feel important!
165,11,Happy birthday Xach! Hard to believe you are 7! #wherehastimegone #flownby
166,5,Enjoying the rain while at lunch!
167,7,It's back!! #serialpodcast #season2
168,76,"We are SO pumped for Continuum tonight! We are kicking the night off at 7 with a crazy Diet Coke + Mentos explosion! Followed by worship + continuing our series, ""The End"". We can't wait to see you!!"
169,21,"EASTER @clcaustin! Come join us this weekend. 6PM tonight or 9:00AM, 10:30AM and Noon tomorrow. I hear they have a pretty great first time guest gift too! 😜 #easteratclcaustin"
170,15,So glad I briefly got to see this guy this weekend. @mebaner @bmebane
171,63,What an incredible night one of @christianlifestudents retreat! God showed up in a powerful way. Cannot wait to see what He has in store for tomorrow!! #clsretreat19
172,19,What happens when you're in the mall when there's a tornado warning?! You go watch a movie! #Atx #atxweather #memorialdayflood
173,17,Fun times @clcaustin singles event this past Friday!
174,5,#besttitleever
175,80,What a year! #2017bestnine
176,27,What a fun night with friends! @anngreengonzales @fredgonzales @mag564 @jogo723
177,12,@sydneywrightmusic doing her thing. #strangebrew #sydneywrightmusic #SXSW2015
178,40,Uncle Casey got Miss Harlow her first pair of sunglasses today. #justalittlebig #thesunistoobright #stylin #harlow_quinn
179,5,Duties this weekend!!! #c40 #overcome
180,5,New mercies every day.
181,15,Having some fun before Xach's last flag football game.
182,5,Look who I found! #stateoneact #littlebro @rba2014 #basshall #3AAA
183,60,It's been ten years since graduating high school and had a great turn out for our 10 year reunion tonight. #classof2007 #snyderhighschool
184,23,The ups to being single is we get to fix our own plate. The rest of the family was served by their spouse. #yaysinglelife life #anderswedding
185,26,Never tasted better! #itsback #bluebell #benefittolivinginatx #dinner
186,5,There's just something about sweet tea in a mason jar.
187,5,Fun night with the little bro! #gourdoughs #dirtysouth #grandmaschickenanddumplings #chickenfry #donut #cooltables @rba2014
188,5,Go follow @jogsforjack and bid on the auction items to help get Jack a communication device! Auction is over at 6PM June 7. #autism #instasale #sweetboy
189,5,So blessed to have such encouraging parents!
190,48,Night 1 of kids camp with @clcaustin kids was great! Ready for day 2!! #butfirstsleep
191,20,Crazy how fast 1 year has flown! Happy Anniversary @jarnold914 @mrsjamiearnold. #oneyear #arnoldpartyoftwo photocred:saraandrockyphotography
192,5,#SXSW #thousandsofpeople #6thstreet
193,47,"What a night @christianlifeaustinya! If you are a young adult in ATX, come join us on June 23 for our next service!"
194,25,"Hey Dads! We would love for you and your family + friends to join us this Sunday at 9am, 10:30am or Noon as we celebrate you! There will be donuts, giveaways, shoe shining + more! You don’t wanna miss out! We 🖤 you, Dads!"
195,21,"Zach Williams will lead worship tomorrow @clcaustin during all three services. 9AM, 10:30AM and 12PM. We would love to see you there!!"
196,15,It's never too cold for a @chickfila milkshake!
197,5,Just playing some volleyball at Zilker Park after the sun went down! #downtown #moon #volleyball
198,5,Dan's Hamburgers. Can't go wrong with that! @chickenchick05
199,5,Great night with The Night Owls!
200,5,Having fun with the boys! #mylittlebuddies
201,5,Just some praise team practice!
202,5,Sunday evening fun with friends. #topgolf
203,5,So thankful Jesus came for sinners. #love #imnobetterthananyoneelse
204,5,Little bro being famous in Snyder Texas! Front page of the Snyder Daily News! @rba2014 #oneact
205,5,Amazed at God's creation. #ATX
206,66,"Even though it was a super quick trip, loved getting to spend time with #harlow_quinn and the family! #unclecc"
207,5,#regram #jogsforjack #autism #auction go follow @jogsforjack
208,5,Happy Birthday @rba2014! So proud of the man you are. Excited to see what is in store for you. #thebig18 #littlebro
209,5,Excited to see and hang out with this guy this week! #littlebro #ATX #stateoneact #basshall #ut @rba2014
210,5,Miss this kid. @jake_leatherwood @mommaleatherwood #c40
211,13,Thank you @realestatechefatx for the lottery tickets and @roxanneescobedo for the Tiff's Treats! Blessed to work with these great agents! #administrativeprofessionalsday #thankyou #staffforrealtors #cbuwestlake
212,40,Bachelor party for @cmsuarezv. #therange #k1speed
213,16,Nothing like sitting on grandmas porch during the rain. #family #easttexas
214,5,Have I mentioned I like to cook?! #ranchporkchops #garliconionpotatoes #macandcheese #creamcorn #salad
215,33,"Our Fall Launch is TONIGHT! There will be homemade root beer, hamburgers, worship + we are kicking off our Fall sermon series ""The End""! Tonight is going to be one you do not want to miss!! 7pm // 4700 West Gate Blvd // Austin, TX"
216,20,Lubbock here I come. #southwest #readytoseefamily #harlow_quinn
217,5,UIL State Basketball Championship all day long with @jarnold914 and @courtneycol323 hope to see @bmebane @mebaner too
218,5,Tree 1 cut down! #grandmas #easttexas #familyreunion @rba2014 @jarnold914 @courtneycol323
219,5,Sound and Cinema. #longcenter #downtown #skyline
220,15,I don't think I have enough computer screens to look at.
221,5,While shredding papers at work I came across this. #thepaperthatstarteditall #coverletter #coldwellbanker #assistantofficemanager #officemanager #whatayear
222,57,Love being able to FaceTime with sweet Harlow. Uncle CC loves you! #harlow_quinn @mrsjamiearnold @jarnold914
223,5,Showing off her trophy! @mebaner
224,56,So much fun! If you’re in Austin you need to go to @urbanaxes. Great way to get some frustration out! Plus friendly competition! #funwithfriends #urbanaxesaustin
225,66,Love serving with these people! @johnbcrist and the #captivethoughtstour was so good! @clcaustin
226,10,Spoiled much?!
227,5,Yes!!!!!
228,70,Wow. The last twelve weeks have flown by. It has been a complete joy spending my Monday nights with these people. Each person here has found freedom. I cannot wait to see what’s to come from the Freedom Conference! @christianlifeaustin #freedomgroup #clclifegroups
229,5,I love seeing these 4 lead Monday lunch!
230,5,Playing Candy Land!
231,5,There's just something about those windmills!
232,5,Hitting that tennis ball!
233,29,"You are invited to our Christmas Production, “Wonder” starts this Saturday night at 6pm and continues Sunday during all three services! This is the perfect time to invite your family, friends, neighbors and coworkers! 🎄#christmasatclc18"
234,27,What a joy it was to hang out with this students all week @nowcamps! This generation of students are world changers. Cannot wait to see where God is going to take them! #nowcampxx #nowcamp2016 #unshakeable
235,55,No caption needed.
236,5,Poker night. #imagoodshuffler
237,56,Loved being able to host Friendsgiving. Such good food and love these people!!! @louiesbbqtx did the turkey and it was the best!!!
238,27,When uncle duty calls.... #harlow_quinn
239,15,Waiting to see @rba2014 in Bullies @hsutx #worldpremire #musical #bullies #littlebro
240,5,Sometimes you just need to sit still and enjoy the silence.
241,5,@rba2014 moves to @hsutx today!! Hard to believe you're a freshman in college. Enjoy your time at HSU. It will be 4 of the best years of your life! #littlebro #goingtocollege #fish #hsu
242,12,What a great turnout this morning for Serve the City! @clcimage @clcaustin
243,60,What a fun night getting scared with these guys! #houseoftorment #nottodaysatan moral support and prayers goes to @anngreengonzales @blake_kelch @elishakelch @karashleyg
244,80,The best way to spend a Friday morning! #harlow_quinn #unclecc
245,17,Great night @continuumministries with @spokenofficial leading worship. #tuesdays #9pm #clcaustin #youngadults
246,5,Magical deliciousness! #smoothieking
247,33,Friday Night Lights! Loved seeing some of CLC's youth in action! Way to go @jogo723 and @brand.canyon. And the company wasn't too bad either! #bowiehighschool #bowiecheer #bowieband
248,7,Great first night at #revealkids15. Looking forward to tomorrow! #clckids #h>m
249,71,Today we celebrated Grayson turning one! Nothing better than being able to surprise the family and spend a day with them. #unclecc
250,5,Lucy's Fried Chicken #frieddevileggs
251,22,Coconut Cream Cheese Truffle Cupcakes were brought to the office today by @realestatechefatx! #sogood #vegan #easter
252,5,Hot Sauce ATX!
253,5,#judahsmith #jesusis___tour #atx #shoreline
254,5,I'm ever amazed at your beauty going down these county roads.
255,16,"We are devastated by the disaster Hurricane Harvey has caused in Houston and the surrounding areas. We know you are all looking for ways to help those in the middle of this storm so we ask that you PRAY + GIVE. To give, simply text your desired amount and FLOOD to (512)-271-2773. We thank you in advance for your prayers and donations. #PrayForTexas #HurricaneHarvey"
256,43,No sight like it.
257,5,Super proud of the man this guy has become. Hard to believe he walks across the stage tonight and receives his high school diploma. So excited to see where God is going to take you. @rba2014 #graduation #senior2014 #littlebrother
258,5,#passion2014
259,5,#passion2014 #enditmovement @rba2014 @mommaleatherwood
260,5,Moving on up. #duelmonitors #work
261,14,I ran/walked 3.466 @CharityMiles for @autismspeaks! #300mileshereicome #jogsforjack
262,8,Don’t do life alone! Sign up online to join a LifeGroup at clcaustin.com/lifegroups. Swipe ⬅️! #clcaustinlifegroups
263,78,f a m i l y
264,20,Ever thought about leading a LifeGroup? It’s so easy! Swipe ⬅️ to see how. #clclifegroups @clcaustin
265,5,Um... There's someone outside my office window.
266,5,Night with the brother. #congressbridge #bats #capital #universityoftexas #amysicecream
267,5,I love working for a company that appreciates you. #coldwellbankerunited
268,6,Light show at Mozart's. #Christmas
269,13,#latergram #lakelbj #kingsland #takemeback #viewfromtheporch #family #boatandjetski #vacation
270,12,"Commissioning service for August Church, Midtown Church, and River Rock Bible Church."
271,5,Great turn out for See You At The Pole at the Junior High! #takingastandforChrist
272,14,@continuumministries weekly Tuesday night service is off to a great start! If you are a young adult you are more than welcome to attend! Tuesday's from 9-10:15PM at @clcaustin.
273,5,The beautiful bride. @kirstie_d_d
274,5,Day 1 of 24 day Advocare Challenge. #bringiton #cleaneating #healthy
275,5,Will probably regret this later! #sogood #greasy #latenightsupper #cheeseburger #onionrings #homemaderanch #chocolateshake
276,27,Made my night. #seriously #lovehim #misshim #littlebro @rba2014
277,5,Day 2 of the 24 day challenge! #fiberdrink #advocare
278,5,Free Snapple two days in a row?! #freeinzilkerpark #loveatx
279,9,Thanksgiving potluck at work today. #stuffed
280,63,"When it snows, snow ice cream is a must!"
281,116,What a fun night! I had no clue a surprise birthday party was being thrown for me tonight. I was under the impression we were going out of town for a quick trip but needed to stop by and help @brandon.green_ move a sectional.. little did I know that was not the case... that @faithandfuel is a tricky one! Couldn’t imagine celebrating turning 30 (officially on Tuesday) with anyone other than these people who are family. Thanks for taking the time to make tonight a special one! #30
282,5,@chickenchick05 #silentnight #thegrovechurch #atx
283,57,This team!!! Love their heart for our students! Plus you’re never too old to get a picture with Santa! #christianlifestudents #clcaustin #uglysweater #imagenight
284,40,Sweet snuggles with #judahbeaukelch.
285,5,Free Willy. Oh yeah!
286,5,Not a bad view for the night. #theoasis
287,5,So proud of this guy and the rest of Snyder One Act! On to Area! #oap #snyder @rba2014
288,5,Mrs. Kathy's peach dumpling. #alittletasteofheaven
289,18,There is always someone happy to see you. #tailneverstopswagging
290,68,"From sharing the womb, to potty training at the same time and sharing a room for 18 years, there is no one else I'd rather share my birthday with. Happy birthday @jarnold914! #twins"
291,5,August Church charter service. @chickenchick05 and @caseybarnold leading worship.
292,5,I ran 3.329 @CharityMiles for @autismspeaks. #jogsforjack
293,89,So proud of the little brother @rba2014. I have loved seeing him grow as a performer and singer. Hard to believe he graduates in May from @hsutx. He’s the best Shrek I know!!
294,5,iFly indoor skydiving! So fun.
295,21,So much fun tonight! #haveyouseenmytail #clctrunkortreat #winniethepooh #3rdplace @blake_kelch @elishakelch
296,12,Rocked this 15 passenger van all weekend with 14 of 55 youth from Christian Life Austin at Reveal Conference. #itsallaboutJesus #reveal15 #excitedaboutwhatistocome #clcaustin
297,32,"Next week is going to be an incredible week @clcaustin ! We would love for you to join us during Holy Week for the following events!
+
Palm Sunday @ricardomusic will be leading us in worship and @scottrjones will be bringing The Word! Don’t miss this!
+
Wednesday 3/28 @taurenwells will be leading worship + @jabinchavez will be bringing a powerful Word! +
Monday - Friday we will join together for 6am PRAYER + WORSHIP. We would love to see you there!
+
Join us Saturday, March 31 at 6pm or Sunday at 9am, 10:30am or Noon for our special Easter service celebrating our risen Savior / Now + Forever!"
298,8,I love this kid!
299,5,So excited!!! #tyrrellarnoldwedding #june7
300,17,Haven’t signed up for a LifeGroup yet? There’s still time! Head over to clcaustin.com to register or click the the link in my bio. There’s a group for everyone! Don’t miss out!
301,5,Just some rain to set church up in!
302,5,This book is really tearing me up.
303,101,The past few days have been just what the soul needed. Meeting #grayson_joey and spending time with #harlow_quinn has done Uncle CC’s heart good. Loved being able to spend time with @jarnold914 and @mrsjamiearnold too! #family
304,5,S'mores with the Mebane's! @mebaner @bmebane
305,40,Loved getting to surprise this guy tonight! Great job @rba2014. #hsutheatre #hardinsimmons #macbeth
306,26,Pastor @bradwilkinson brought a strong word for the leaders at @nowcamps during the leader lunch today. #nowcampxx #nowcamp2016
307,17,"Who's ready for some FAITH AND FOOTBALL this Sunday at CLC Austin at 9 am, 10:30 am and noon? We will have a stage full of former NFL stars, including a Super Bowl champion, who will share their stories of faith and football! Be sure to wear your favorite team colors or jersey and invite a friend to sit beside you! #clcaustin #faithandfootball"
308,17,Not a bad sight to wake up too! #revealkids15 #clckids #campcopass
309,5,#autismawareness #jogsforjack #ilovemyjack #wearingthatblue
310,5,Goodbye cotton fields and wind turbines. So glad I got to be apart of an incredible weekend!
311,28,This Sunday @christianlifeaustinya is back! Come join us at 7PM to connect with other young adults!
312,5,Watching the little bro play tennis!
