,number_of_likes,caption
49,6,"Some amazing views, beer and restaurants..
#themansion #florida #palms #orangeblossomhoneywheat #hellnblazes"
50,31,"Bridal veil Falls falls and Gem lake today for a 14 mile loop with around 3000 feet of climb. Thankful for great weather, even better company, and that the pissed off moose was far enough off trail that we didnt have to run from it..
#bridalveilfalls #gemlake"
51,41,"BEAUTIFUL morning in Boulder, finally got to check out Royal Arch.
#royalarch"
52,32,"Another adventure since the weather decided to cooperate. Got to explore a little further south outside Nederland, beautiful area. Learned that the town of Eldora is kind of creepy and they take speeders very seriously. And that Kahtoola microspikes are amazing and well worth the money.
#jasperlake"
53,13,The ONLY thing good about it being dark still when I get up.. #coloradosunrise
54,34,Horsetooth Falls/Rock.. Perfect day/weather for a Colorado hike.
55,42,"Decent sunset and day before a full moon so it was a nice bonus. Had it all to myself except for meeting a new hiking buddy! Good times
#horsetoothrock"
56,16,"Along the trail to St Mary's Peak
#stmaryspeak"
57,21,"Pretty decent when you can hike in 50* weather in middle of January.
@dirtyroyl
#goodweather #goodcompany# #coloradoskies #readyforsummer
#CoyoteRidge"
58,16,"In July before I did the Manitou incline I did 162 Floors to see what I was up against.. the incline is 2744 steps. Trying to push myself a bit tonight I did it again, and when I finished, realized i needed to do 172 instead of 162.. 😠 Back on for another 10 I went.. haha It sucked but great for mental conditioning.. I got some big mountains to climb next year!"
59,22,"A quick trip up Kruger Rock by Estes a few weeks ago.
#krugerrock"
60,32,"Colorado sky you fancy..
#clouds #poststorm #coloradosky #onefiltered"
61,18,"Coco Beach pier and a full moon.
#cocobeach #pier #fullmoon #oceanviews #rollers"
62,23,"A few more including video clips.
#twinsisters"
63,22,Cleaned up and ready for a show tomorrow.. #showtime #untilitgetstoohot #summertime #supercharged #jeepsrt8
64,23,"Finally made it to Rocky Mountain National Park for a short trek. Thanks again @avogel57 for everything!
Can't wait to get back up there again."
65,29,"More from Black, and Frozen lake.
#blacklake #frozenlake"
66,12,"Gets harder to leave each time.. Thanks to my Florida friends for another great trip!@beachyboden
#vacation #idontwannagoback #florida"
67,14,"Able to capitalize on some perfect weather again yesterday. Longest, hardest, but best yet.
#twinsisters"
68,5,Some weird/interesting train art with the little stickfigures..
69,14,
70,31,"GREAT time to get up to horsetooth falls.. The water is actually running pretty good, everything is getting green, and the flowers are starting to smell.
#horsetoothrock"
71,32,"I mentioned in my last post, ""tune up"" hikes. I've been fortunate enough to hike every weekend except one(had the flu) since mid December.
Its become a good routine to try to go somewhere, ANYWHERE, even if just a couple hours on the weekend. Even if its just me, solo with some coffee. Even if its snowing like hell or single digit temps. I've managed to go.
I've realized that wether its these short 4-5 mile trails that I've done a dozen times before, or 12-15 mile adventures that test some mental and physical strength, they are all experiences and time I really cant put a value on.
I've had friends reach out to me after some of my hiking posts and say its inspired them to go do some exploring themselves. Cant describe how great that made me feel, especially consisidering I hope my posts havnt become obnoxious.. Haha The funny thing is, seeing posts from some of my friends is what motivated me to stop SAYING I wanted to go, to actually goin..
So to conclude my ramblings, if youve ever been interested in trying a little exploring I urge you to do so!
These are from various trails in Lory State Park and Devils Backbone.
#lorystatepark #devilsbackbone"
72,26,"Guess I cant say ""I never win"" anymore.. I feel like this makes up for all the contests where I was not victorious.. #donuthaus #fatkidstatus"
73,20,"Wasn't the fastest, but 250 floors in under a hour without stopping to rest at all is a big milestone for me. I saw a motto on a shirt recently. ""Suffer now, summit later"". Trying to apply that each time I step into the gym so the miles click off easier where and when it counts. Almost a year ago I started to push more mentally than just physically. Still have a LONG ways to go but happy to be making strides, today is milestone is proof of progress."
74,26,"Saw a beautiful city, made some great memories and met/spent time with some absolutely amazing people. Even did a GREAT hike in Texas!
@shannyshenanigans Thank you for showing me your city!
#austintexas"
75,29,"For years I've been tellin myself I wanted to get out, hike, bike or whatever it takes to enjoy and explore Colorado. This year I finally made it happen. Todays trip puts me at just over 100 miles this year. The memories, the struggles, and the views have been nothing but incredible. Very thankful to live here and enjoy it with some amazing people.
#dreamlake #emeraldlake #lakehaiyaha"
76,34,"Daybreak solo trip up Arthur's Rock to enjoy coffee, watch Colorado do what it does best.
#arthursrock #winterhike"
77,24,"Another perfect morning for a hike.
Arthur's Rock.
#hike #colorado"
78,45,"Broke away from my weekly ""tune up"" hikes and made it to the top of Twin Sisters again, this time on snow shoes. @backcountryben and I enjoyed the amazing weather, breaking trail for a section, therefore having the summit all to ourselves.
Thanks again for the adventure buddy, look forward to the next.
#twinsisters"
79,53,"As you can see a lil frosty today up Greyrock but another great adventure!
#greyrock"
80,21,Lucky to have this so close for quick evening or morning rides. A lot of good times and views have been had on this trail. #springcreek #fortcollins #trekbikes
81,37,"One of the best trails to enjoy the snowmelt/run off this year.
@nicole.schuh
#ouzelfalls #calypsocascades"
82,43,"4th time up Greyrock and couldnt of had better weather. Not even a hint of wind and LOTS of water up top made for a few of my favorite pictures so far. If you have time get up there this weekend. Just plan on goin super early. We were third car in the parking lot when we arrived, there were probably 20+ cars parked ON THE ROAD at 10am when we were leaving.
#greyrock"
83,22,"Another day, another quick trip.
#arthursrock #hiking #coloradoskies"
84,5,
85,12,One thing Iam always amazed with is all the different plants that are here.
86,12,"Colorado weather, you can quit being an asshole now.. #hailsucks"
